unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
19,nj54277,california,3746.751625,yes,extended,college,2011-02-26,employed,f,41479,rural,married,94,14.0,38,1.0,1,personal auto,personal l2,offer2,call center,19.575683,two-door car,large,a,2
20,om80593,california,7247.313475,no,basic,bachelor,2011-02-23,unemployed,f,0,suburban,single,104,9.0,58,0.0,7,personal auto,personal l3,offer1,call center,499.2,suv,medsize,a,2
21,rl65736,oregon,6274.447705,no,extended,high school or below,2011-02-14,medical leave,f,13662,suburban,single,85,29.0,37,0.0,3,personal auto,personal l1,offer1,agent,408.0,four-door car,small,a,2
22,eq62488,oregon,15031.5645,no,basic,college,2011-01-15,employed,f,59456,suburban,married,189,11.0,7,0.0,8,personal auto,personal l3,offer2,call center,907.2,luxury car,large,a,1
23,nq71171,california,5107.071054,no,basic,bachelor,2011-02-02,employed,m,70174,rural,married,64,15.149070740488469,80,0.384256105867471,7,personal auto,personal l2,offer1,agent,128.90032,four-door car,medsize,a,2
24,yk32760,oregon,2502.209885,no,basic,high school or below,2011-02-15,unemployed,m,0,suburban,divorced,74,26.0,95,1.0,1,corporate auto,corporate l1,offer1,agent,355.2,four-door car,medsize,a,2
25,ay59197,nevada,9521.222806,no,extended,college,2011-01-24,employed,m,27769,rural,married,121,24.0,78,0.0,6,special auto,special l3,offer4,agent,123.15416,suv,small,a,1
26,xf15789,arizona,8869.619888,no,basic,college,2011-02-21,employed,f,81350,rural,married,110,1.0,28,0.0,9,personal auto,personal l3,offer3,branch,228.185834,suv,large,a,2
27,mq68407,oregon,4376.363592,yes,premium,bachelor,2011-02-28,employed,f,63774,rural,divorced,111,18.0,63,0.0,1,personal auto,personal l3,offer2,agent,60.036683,four-door car,medsize,a,2
28,ci99444,nevada,2926.886293,no,basic,college,2011-02-22,employed,f,92381,urban,married,72,24.0,27,0.0,1,special auto,special l2,offer2,call center,234.774747,four-door car,medsize,a,2
29,bd70337,california,24706.92011,no,basic,high school or below,2011-01-07,medical leave,m,26307,urban,married,73,26.0,1,0.0,2,personal auto,personal l2,offer4,call center,313.192439,four-door car,medsize,a,1
30,gx19342,california,8491.465719,no,premium,high school or below,2011-01-28,unemployed,f,0,suburban,single,116,3.0,97,0.0,3,personal auto,personal l3,offer1,branch,1193.115879,four-door car,large,a,1
31,dp19210,california,9191.733549,no,basic,master,2011-02-08,employed,f,23823,suburban,married,115,5.0,39,0.0,6,corporate auto,corporate l2,offer2,branch,567.48055,sports car,medsize,a,2
32,oj63606,arizona,5776.338737,no,premium,high school or below,2011-01-28,medical leave,f,27510,suburban,married,159,5.0,28,3.0,1,corporate auto,corporate l3,offer1,call center,871.457982,suv,small,a,1
33,oh23893,california,9115.57169,no,basic,bachelor,2011-02-15,employed,f,69588,rural,married,114,19.0,45,0.0,6,personal auto,personal l1,offer1,branch,173.080024,suv,medsize,a,2
34,ri76930,california,4163.04081,no,basic,college,2011-02-12,employed,f,43276,suburban,married,104,16.0,11,0.0,1,personal auto,personal l3,offer2,call center,499.2,suv,large,a,2
35,yk26558,california,5264.642009,no,basic,college,2011-02-20,unemployed,f,0,rural,divorced,72,30.0,26,0.0,8,special auto,special l3,offer1,branch,135.888306,four-door car,medsize,a,2
36,oe15005,california,3945.241604,no,basic,college,2011-01-05,medical leave,m,28855,suburban,married,101,12.0,59,0.0,1,personal auto,personal l2,offer3,call center,647.442031,suv,medsize,a,1
37,ra17555,oregon,5176.730072,no,basic,high school or below,2011-02-07,employed,m,41533,urban,married,65,2.0,46,0.0,9,corporate auto,corporate l2,offer3,agent,232.879766,four-door car,medsize,a,2
38,zi34278,arizona,4492.23348,no,basic,bachelor,2011-01-28,medical leave,f,21137,suburban,single,61,29.0,62,1.0,6,personal auto,personal l1,offer2,web,292.8,four-door car,medsize,a,1
39,xd72019,oregon,8470.043225,no,extended,bachelor,2011-02-19,unemployed,f,0,suburban,single,82,1.0,13,0.0,2,personal auto,personal l2,offer2,web,479.312226,four-door car,large,a,2
40,rr93140,california,2880.348532,no,basic,college,2011-01-05,employed,f,81565,urban,married,71,19.0,54,0.0,1,personal auto,personal l2,offer2,branch,190.642833,four-door car,medsize,a,1
41,be25221,arizona,6182.618843,no,extended,high school or below,2011-02-07,medical leave,m,20072,suburban,married,82,35.0,51,0.0,9,corporate auto,corporate l3,offer1,agent,473.266879,four-door car,medsize,a,2
42,pv62583,nevada,9799.175061,no,extended,college,2011-01-03,medical leave,m,22166,suburban,married,126,10.0,22,0.0,6,personal auto,personal l3,offer1,web,604.8,suv,medsize,a,1
43,bl12371,arizona,5790.565333,no,basic,master,2011-02-03,employed,m,84551,rural,divorced,72,10.0,82,0.0,5,personal auto,personal l3,offer2,agent,28.92584,four-door car,large,a,2
44,er49844,arizona,5041.447024,no,basic,college,2011-01-19,employed,m,61972,rural,married,64,2.0,52,2.0,5,personal auto,personal l1,offer4,call center,138.961963,four-door car,medsize,a,1
45,ri22468,arizona,5745.94334,no,basic,bachelor,2011-01-22,employed,f,57740,urban,married,74,30.0,87,3.0,9,personal auto,personal l1,offer3,web,269.905129,four-door car,medsize,a,1
46,sy48591,arizona,4827.77681,no,basic,college,2011-01-17,unemployed,f,0,suburban,single,68,29.0,91,0.0,6,personal auto,personal l3,offer1,branch,326.4,four-door car,medsize,a,1
47,pr23514,california,7664.219255,no,basic,college,2011-01-23,employed,m,60184,rural,divorced,199,7.0,44,1.0,1,personal auto,personal l3,offer2,web,161.61574,luxury suv,medsize,a,1
48,uy32623,california,3593.12645,no,extended,college,2011-02-05,disabled,f,18213,suburban,divorced,96,12.0,43,1.0,1,corporate auto,corporate l2,offer1,branch,460.8,four-door car,large,a,2
49,qv30663,nevada,9863.502214,no,extended,master,2011-02-28,employed,f,99654,rural,married,121,13.0,95,0.0,3,personal auto,personal l3,offer3,call center,272.788141,suv,medsize,a,2
50,ms94619,california,5111.304579,no,basic,high school or below,2011-02-13,employed,f,76448,suburban,married,63,9.0,13,0.0,3,personal auto,personal l3,offer3,web,302.4,four-door car,medsize,a,2
51,ft56968,arizona,2590.096027,no,basic,high school or below,2011-01-03,employed,m,22398,suburban,married,67,15.149070740488469,76,0.384256105867471,1,personal auto,personal l1,offer1,agent,321.6,four-door car,large,a,1
52,tx39594,arizona,2452.491364,no,basic,high school or below,2011-01-25,employed,f,51085,suburban,married,62,4.0,58,1.0,1,personal auto,personal l3,offer3,call center,406.902001,two-door car,small,a,1
53,gr42174,oregon,2194.668123,no,basic,college,2011-01-02,unemployed,m,0,suburban,single,62,11.0,48,0.0,1,personal auto,personal l3,offer4,call center,623.525433,four-door car,medsize,a,1
54,xi79589,california,4473.883999,no,extended,high school or below,2011-02-16,unemployed,f,0,suburban,divorced,125,2.0,84,0.0,1,personal auto,personal l1,offer1,branch,600.0,suv,medsize,a,2
55,xq74827,arizona,19435.62924,no,extended,high school or below,2011-02-01,employed,f,38688,suburban,single,249,22.0,6,0.0,3,special auto,special l3,offer1,agent,2294.631639,luxury car,medsize,a,2
56,tw17878,oregon,2457.576007,no,basic,high school or below,2011-01-27,employed,f,52926,suburban,married,61,2.0,92,0.0,1,personal auto,personal l3,offer1,call center,292.8,four-door car,medsize,a,1
57,gb43363,oregon,6870.607058,no,premium,college,2011-01-24,unemployed,m,0,suburban,single,105,5.0,87,0.0,3,personal auto,personal l3,offer1,branch,756.0,four-door car,small,a,1
58,br69566,california,14019.83314,no,basic,college,2011-02-18,employed,m,31739,suburban,divorced,71,10.0,29,0.0,2,personal auto,personal l3,offer4,call center,469.882367,two-door car,small,a,2
59,ep83939,arizona,5575.751228,no,basic,high school or below,2011-01-26,employed,m,91416,rural,married,69,15.149070740488469,39,0.384256105867471,5,personal auto,personal l3,offer2,call center,109.904496,four-door car,medsize,a,1
60,iq95180,oregon,5651.396772,no,basic,bachelor,2011-01-19,employed,m,44634,suburban,married,71,16.0,99,1.0,9,personal auto,personal l3,offer1,branch,396.035334,four-door car,small,a,1
61,jx52708,california,4556.068318,no,basic,bachelor,2011-02-14,medical leave,m,25617,suburban,divorced,63,22.0,3,0.0,3,personal auto,personal l3,offer2,call center,302.4,two-door car,medsize,a,2
62,uf44021,california,2108.493744,no,basic,bachelor,2011-01-02,unemployed,m,0,suburban,single,61,8.0,91,0.0,1,personal auto,personal l2,offer1,agent,351.85681,two-door car,medsize,a,1
63,av25133,oregon,3095.705571,no,extended,college,2011-01-12,unemployed,f,0,suburban,single,92,31.0,24,1.0,1,personal auto,personal l3,offer3,web,774.892461,two-door car,small,a,1
64,wl24392,arizona,5860.16743,no,basic,bachelor,2011-02-01,employed,m,94527,rural,married,73,16.0,32,0.0,3,personal auto,personal l1,offer1,agent,41.464402,four-door car,medsize,a,2
65,lo57874,oregon,2300.691547,yes,basic,bachelor,2011-01-15,retired,m,25905,suburban,divorced,63,21.0,12,0.0,1,corporate auto,corporate l3,offer1,agent,302.4,four-door car,large,a,1
66,uo54511,california,4950.250892,no,basic,high school or below,2011-01-20,employed,f,27400,suburban,married,63,14.0,78,1.0,9,personal auto,personal l1,offer3,agent,302.4,four-door car,medsize,a,1
67,kr35099,washington,7507.455372,yes,basic,college,2011-02-06,employed,m,60920,urban,single,64,15.149070740488469,61,0.384256105867471,2,personal auto,personal l3,offer2,agent,231.201886,two-door car,medsize,a,2
68,ny12562,nevada,2224.089639,no,basic,college,2011-01-05,unemployed,f,0,suburban,single,64,20.0,4,0.0,1,corporate auto,corporate l2,offer2,branch,483.25721,four-door car,medsize,a,1
69,qg27547,oregon,2867.312197,yes,extended,bachelor,2011-01-03,retired,f,23376,suburban,divorced,78,19.0,18,0.0,1,personal auto,personal l3,offer2,call center,374.4,four-door car,medsize,a,1
70,ph78214,oregon,5427.174517,no,basic,college,2011-02-11,medical leave,f,27677,suburban,married,72,10.0,82,1.0,3,personal auto,personal l3,offer2,agent,345.6,four-door car,medsize,a,2
71,lo37570,arizona,12157.5413,no,extended,high school or below,2011-01-07,employed,m,40432,suburban,married,77,21.0,66,0.0,2,personal auto,personal l3,offer3,agent,369.6,four-door car,medsize,a,1
72,fh81409,california,8152.244431,no,extended,high school or below,2011-01-21,unemployed,m,0,suburban,single,79,19.0,70,0.0,2,personal auto,personal l1,offer1,agent,568.8,four-door car,small,a,1
73,rw65977,arizona,2191.133237,no,basic,college,2011-01-29,unemployed,m,0,suburban,single,61,9.0,16,1.0,1,special auto,special l2,offer1,agent,439.2,four-door car,medsize,a,1
74,ld75023,oregon,26346.08582,no,extended,high school or below,2011-01-20,employed,m,48268,suburban,divorced,223,28.0,26,0.0,2,personal auto,personal l2,offer1,web,1605.6,luxury suv,medsize,a,1
75,oz92426,oregon,2364.43161,no,basic,college,2011-01-18,employed,m,46264,urban,single,62,17.0,75,0.0,1,corporate auto,corporate l1,offer4,branch,199.37361,four-door car,medsize,a,1
76,fi17798,california,2710.12066,no,basic,doctor,2011-01-11,unemployed,m,0,suburban,married,71,7.0,87,0.0,1,personal auto,personal l3,offer1,agent,340.8,four-door car,small,a,1
77,yc54142,washington,74228.51604,no,extended,high school or below,2011-01-26,unemployed,m,0,suburban,single,242,1.0,34,0.0,2,personal auto,personal l1,offer1,branch,1742.4,luxury car,medsize,a,1
78,ln28900,california,14687.07959,no,extended,bachelor,2011-02-23,unemployed,m,0,suburban,single,85,3.0,61,0.0,2,personal auto,personal l1,offer1,web,612.0,four-door car,small,a,2
79,sx63814,arizona,9312.585034,no,premium,high school or below,2011-02-13,employed,m,75986,rural,married,115,11.0,44,0.0,3,personal auto,personal l3,offer3,call center,89.119797,four-door car,medsize,a,2
80,vm85555,california,7750.120323,no,basic,college,2011-02-23,employed,f,22668,rural,single,67,5.0,34,1.0,2,personal auto,personal l2,offer3,branch,33.718553,four-door car,medsize,a,2
81,ro18530,washington,2540.689797,no,basic,master,2011-02-28,employed,m,42557,rural,single,65,4.0,35,0.0,1,personal auto,personal l3,offer4,agent,57.562324,four-door car,large,a,2
82,fr48094,arizona,2456.816127,no,basic,high school or below,2011-02-15,unemployed,m,0,suburban,single,73,15.0,59,0.0,1,personal auto,personal l3,offer4,branch,525.6,four-door car,small,a,2
83,dy27653,oregon,3755.806897,no,extended,high school or below,2011-01-04,employed,f,56178,suburban,married,94,1.0,39,0.0,1,personal auto,personal l3,offer2,branch,451.2,four-door car,medsize,a,1
84,oh69760,arizona,5181.054467,no,basic,college,2011-02-02,unemployed,f,0,suburban,married,70,15.149070740488469,64,0.384256105867471,7,personal auto,personal l1,offer1,branch,336.0,four-door car,large,a,2
85,ch50584,oregon,32474.76977,no,basic,high school or below,2011-01-22,employed,m,71449,suburban,divorced,102,17.0,7,0.0,2,personal auto,personal l3,offer4,call center,734.4,suv,small,a,1
86,wm19996,california,8349.523082,no,basic,bachelor,2011-01-09,employed,m,45428,urban,divorced,109,15.149070740488469,46,0.384256105867471,3,corporate auto,corporate l3,offer1,call center,487.273964,suv,medsize,a,1
87,zh92587,oregon,8126.766397,no,basic,college,2011-02-22,disabled,f,14616,suburban,married,107,15.149070740488469,73,0.384256105867471,3,personal auto,personal l3,offer1,agent,513.6,four-door car,medsize,a,2
88,cj51511,arizona,13466.92071,yes,basic,high school or below,2011-02-23,disabled,f,11432,suburban,married,119,15.149070740488469,9,0.384256105867471,2,corporate auto,corporate l3,offer2,agent,571.2,four-door car,medsize,a,2
89,me37450,arizona,5210.348372,no,basic,bachelor,2011-01-04,employed,m,89781,rural,single,66,7.0,89,0.0,5,special auto,special l2,offer1,agent,37.960537,four-door car,medsize,a,1
90,ko86181,oregon,6941.872931,no,basic,college,2011-02-11,unemployed,f,0,suburban,single,111,3.0,73,3.0,6,personal auto,personal l3,offer1,agent,532.8,suv,small,a,2
91,kd63933,california,7048.384055,no,basic,college,2011-02-19,medical leave,m,24030,suburban,single,194,14.0,0,0.0,1,personal auto,personal l1,offer1,agent,970.688934,luxury suv,medsize,a,2
92,cm66204,arizona,26770.44534,no,basic,college,2011-01-23,employed,f,26335,urban,married,113,32.0,7,1.0,2,personal auto,personal l2,offer1,call center,355.818306,suv,large,a,1
93,nv13794,nevada,9549.113813,no,basic,high school or below,2011-02-09,employed,f,55986,urban,married,119,3.0,60,0.0,9,personal auto,personal l1,offer1,agent,388.506303,suv,small,a,2
94,hf75891,washington,4331.460674,no,basic,high school or below,2011-02-11,employed,f,82302,suburban,married,106,11.0,92,0.0,1,personal auto,personal l2,offer1,branch,722.178166,suv,medsize,a,2
95,nb81923,washington,7294.492993,no,basic,college,2011-02-24,unemployed,f,0,suburban,single,113,12.0,66,2.0,7,personal auto,personal l3,offer1,call center,733.737214,sports car,medsize,a,2
96,av96010,oregon,3289.120863,no,extended,college,2011-01-29,employed,m,40097,rural,single,92,23.0,35,4.0,1,personal auto,personal l2,offer1,call center,227.221652,two-door car,medsize,a,1
97,ca22248,oregon,2505.42043,no,basic,master,2011-02-14,employed,f,60546,rural,single,63,21.0,71,0.0,1,personal auto,personal l3,offer2,branch,46.278027,four-door car,medsize,a,2
98,pk23339,arizona,3417.953745,no,extended,high school or below,2011-01-25,employed,f,72460,urban,married,85,9.0,76,0.0,1,personal auto,personal l2,offer2,call center,370.018108,four-door car,medsize,a,1
99,jy66887,california,16320.76716,no,extended,high school or below,2011-02-27,unemployed,f,0,suburban,single,247,5.0,12,3.0,5,personal auto,personal l2,offer2,branch,1778.4,luxury car,medsize,a,2
100,nh16984,california,2838.067784,no,extended,bachelor,2011-02-07,unemployed,f,0,urban,divorced,80,30.0,8,0.0,1,personal auto,personal l1,offer1,web,336.50961,four-door car,medsize,a,2
101,uv12583,california,4700.583771,no,basic,college,2011-02-18,employed,f,76694,suburban,married,117,34.0,23,0.0,1,personal auto,personal l1,offer4,agent,561.6,suv,medsize,a,2
102,vg56765,arizona,2471.528431,yes,basic,high school or below,2011-01-15,employed,m,95697,rural,married,61,16.0,55,0.0,1,personal auto,personal l2,offer2,agent,114.273025,two-door car,medsize,a,1
103,ak11669,arizona,10130.93442,no,extended,doctor,2011-01-17,employed,f,59232,suburban,divorced,85,6.0,75,0.0,2,corporate auto,corporate l3,offer3,branch,408.0,two-door car,medsize,a,1
104,sz60450,california,3419.108695,no,extended,high school or below,2011-02-13,employed,m,40272,rural,married,86,8.0,64,0.0,1,personal auto,personal l3,offer3,agent,23.387192,two-door car,medsize,a,2
105,ms87381,california,23866.15656,no,extended,high school or below,2011-02-14,unemployed,f,0,suburban,married,81,27.0,93,1.0,2,personal auto,personal l2,offer3,branch,388.8,four-door car,medsize,a,2
106,lp47259,arizona,8324.23271,no,extended,high school or below,2011-01-01,unemployed,m,0,suburban,single,121,15.149070740488469,92,0.384256105867471,5,corporate auto,corporate l3,offer2,branch,871.2,sports car,medsize,a,1
107,no31089,arizona,3179.474225,no,extended,bachelor,2011-01-21,employed,f,65742,urban,married,79,6.0,0,0.0,1,personal auto,personal l3,offer2,call center,277.360797,four-door car,medsize,a,1
108,sd83603,oregon,6672.127831,no,extended,college,2011-02-13,employed,f,56830,urban,married,83,15.149070740488469,27,0.384256105867471,9,personal auto,personal l1,offer2,agent,319.799712,two-door car,medsize,a,2
109,tk65222,california,16407.66461,no,premium,bachelor,2011-01-12,employed,m,22103,rural,single,109,16.0,31,0.0,2,personal auto,personal l2,offer1,agent,160.338007,four-door car,large,a,1
110,hb48073,arizona,9371.773682,no,basic,bachelor,2011-02-01,employed,f,66325,urban,married,117,10.0,10,0.0,5,corporate auto,corporate l2,offer1,agent,497.719213,suv,medsize,a,2
111,do60145,arizona,4270.034394,yes,extended,college,2011-01-19,unemployed,m,0,suburban,married,122,27.0,2,0.0,1,personal auto,personal l3,offer2,agent,725.870693,suv,medsize,a,1
112,ba40043,california,5799.826802,no,basic,college,2011-01-03,employed,m,60689,rural,single,74,29.0,67,0.0,7,corporate auto,corporate l2,offer2,branch,5.746657,four-door car,medsize,a,1
113,ec28398,oregon,5096.673223,yes,basic,master,2011-01-28,disabled,f,22886,suburban,divorced,65,9.0,81,0.0,3,corporate auto,corporate l2,offer1,agent,312.0,four-door car,small,a,1
114,fe99816,nevada,15563.36944,no,premium,bachelor,2011-01-19,unemployed,f,0,suburban,married,253,15.0,40,5.0,7,personal auto,personal l1,offer3,web,1214.4,luxury car,medsize,a,1
115,hs39343,washington,7475.784971,no,basic,bachelor,2011-01-26,disabled,f,29633,urban,married,196,26.0,57,0.0,1,corporate auto,corporate l3,offer1,agent,534.653787,luxury car,medsize,a,1
116,gl44478,oregon,9986.661111,no,extended,high school or below,2011-01-22,disabled,m,24067,suburban,single,132,12.0,2,0.0,6,corporate auto,corporate l3,offer2,branch,633.6,sports car,medsize,a,1
117,ef84269,california,5568.656492,no,extended,college,2011-02-21,employed,f,51489,rural,married,139,14.0,10,0.0,1,personal auto,personal l2,offer1,web,236.739322,suv,medsize,a,2
118,rd22761,washington,20579.69157,no,basic,bachelor,2011-01-16,unemployed,m,0,suburban,single,69,5.0,26,0.0,2,personal auto,personal l3,offer3,call center,566.673518,four-door car,medsize,a,1
119,do41287,oregon,8276.44416,no,extended,high school or below,2011-02-18,unemployed,m,0,suburban,single,82,29.0,92,0.0,2,personal auto,personal l2,offer3,branch,590.4,four-door car,medsize,a,2
120,oo89057,california,4014.332715,no,extended,master,2011-02-17,employed,f,54054,rural,married,99,7.0,55,0.0,1,personal auto,personal l2,offer2,branch,5.661684,four-door car,medsize,a,2
121,dq92905,arizona,12989.81806,no,basic,bachelor,2011-02-24,unemployed,m,0,suburban,single,65,16.0,3,0.0,2,personal auto,personal l3,offer1,web,312.0,four-door car,medsize,a,2
122,ew33419,california,15114.40241,yes,basic,high school or below,2011-01-19,medical leave,f,28513,suburban,married,100,4.0,22,1.0,2,corporate auto,corporate l2,offer2,call center,480.0,suv,medsize,a,1
123,kh16079,washington,4709.52218,no,basic,high school or below,2011-02-12,unemployed,f,0,suburban,single,66,17.0,29,0.0,3,personal auto,personal l1,offer1,agent,470.576119,four-door car,small,a,2
124,gu99037,oregon,2452.977288,no,basic,college,2011-02-14,employed,m,79898,urban,married,62,5.0,86,1.0,1,corporate auto,corporate l1,offer4,agent,271.606799,four-door car,medsize,a,2
125,bm92346,california,3919.366722,yes,extended,high school or below,2011-01-05,employed,f,66676,suburban,married,97,0.0,40,0.0,1,personal auto,personal l1,offer3,agent,558.099357,four-door car,small,a,1
126,te60343,california,4716.264294,no,basic,high school or below,2011-02-25,employed,m,25746,suburban,married,61,0.0,84,1.0,3,corporate auto,corporate l3,offer2,agent,292.8,four-door car,medsize,a,2
127,ru75949,oregon,12332.51669,no,basic,college,2011-02-28,employed,m,85789,rural,married,105,18.0,54,2.0,2,personal auto,personal l1,offer1,agent,122.302824,sports car,medsize,a,2
128,pp35705,california,35862.99324,no,extended,high school or below,2011-02-26,medical leave,m,26376,suburban,divorced,121,7.0,19,0.0,2,personal auto,personal l3,offer1,agent,580.8,suv,small,a,2
129,zm45168,oregon,2398.354197,no,basic,college,2011-02-14,disabled,m,14321,suburban,single,65,20.0,72,0.0,1,personal auto,personal l2,offer1,branch,423.823547,four-door car,medsize,a,2
130,sh93005,california,6005.847375,yes,extended,college,2011-02-23,retired,m,13528,suburban,single,86,21.0,35,0.0,3,personal auto,personal l3,offer1,agent,412.8,four-door car,medsize,a,2
131,qk24293,california,6265.343299,no,extended,doctor,2011-01-13,unemployed,f,0,suburban,married,84,18.0,25,1.0,4,corporate auto,corporate l1,offer1,agent,481.025786,four-door car,medsize,a,1
132,cj72056,california,8013.895125,no,basic,bachelor,2011-01-17,employed,m,65636,suburban,married,67,15.0,72,0.0,2,personal auto,personal l2,offer2,call center,321.6,four-door car,medsize,a,1
133,zy20779,washington,4979.079933,no,basic,high school or below,2011-01-29,unemployed,m,0,suburban,single,71,17.0,57,0.0,5,personal auto,personal l1,offer2,agent,340.8,two-door car,medsize,a,1
134,bp28492,arizona,4834.710493,yes,basic,college,2011-01-31,employed,f,38713,suburban,divorced,66,31.0,69,4.0,6,corporate auto,corporate l3,offer2,call center,316.8,four-door car,medsize,a,1
135,an67558,nevada,3288.209809,no,basic,college,2011-01-16,unemployed,m,0,suburban,single,102,16.0,1,1.0,1,personal auto,personal l3,offer1,call center,734.4,suv,large,a,1
136,zj90079,arizona,5525.470004,no,basic,college,2011-02-01,employed,f,64816,suburban,married,69,30.0,33,0.0,7,corporate auto,corporate l2,offer3,agent,331.2,four-door car,small,a,2
137,gs85403,washington,9031.214859,yes,extended,master,2011-02-23,unemployed,f,0,suburban,single,122,15.0,47,0.0,9,corporate auto,corporate l2,offer1,branch,650.52179,sports car,medsize,a,2
138,sk95364,california,4620.390087,no,extended,college,2011-02-26,unemployed,f,0,suburban,single,130,11.0,0,0.0,1,personal auto,personal l2,offer3,agent,936.0,suv,medsize,a,2
139,ui80897,washington,5552.596353,no,basic,high school or below,2011-02-27,employed,m,50470,suburban,divorced,71,1.0,87,0.0,8,corporate auto,corporate l2,offer4,call center,377.498287,two-door car,large,a,2
140,oj65428,nevada,3842.028065,no,premium,college,2011-01-19,disabled,m,27906,suburban,divorced,102,5.0,57,0.0,1,personal auto,personal l3,offer2,call center,489.6,four-door car,medsize,a,1
141,wp64059,california,5093.379714,no,basic,bachelor,2011-01-06,employed,f,91814,urban,married,63,30.0,99,0.0,3,personal auto,personal l1,offer3,call center,167.037619,two-door car,medsize,a,1
142,ip52990,oregon,16794.31422,no,basic,high school or below,2011-02-24,employed,f,38399,urban,married,106,12.0,6,0.0,2,personal auto,personal l3,offer2,web,368.890904,suv,medsize,a,2
143,vf36700,oregon,24278.10167,no,extended,master,2011-02-26,retired,f,20983,urban,single,97,10.0,52,1.0,2,personal auto,personal l2,offer1,branch,451.751555,four-door car,medsize,a,2
